memory level,system size,indicators,n_trail,mean,std,trail 0,trail 1,trail 2,trail 3,trail 4,trail 5,trail 6,trail 7,trail 8,trail 9,trail 10,trail 11,trail 12,trail 13,trail 14,trail 15,trail 16,trail 17,trail 18,trail 19,trail 20,trail 21,trail 22,trail 23,trail 24,trail 25,trail 26,trail 27,trail 28,trail 29,trail 30,trail 31,trail 32,trail 33,trail 34,trail 35,trail 36,trail 37,trail 38,trail 39,trail 40,trail 41,trail 42,trail 43,trail 44,trail 45,trail 46,trail 47,trail 48,trail 49,trail 50,trail 51,trail 52,trail 53,trail 54,trail 55,trail 56,trail 57,trail 58,trail 59
3,6,cultural homogeneity,60,0.002997411810854025,0.0019460732393522437,0.0004415011037527594,0.0012539184952978057,0.0017879948914431673,0.0026560424966799467,0.0009216589861751152,0.0006441223832528181,0.0016847172081829122,0.002364066193853428,0.0018018018018018018,0.004366812227074236,0.004,0.008071748878923767,0.005185185185185185,0.006880189798339265,0.0012048192771084338,0.0005486968449931413,0.006435006435006435,0.005737704918032787,0.0020671834625322996,0.0027989821882951653,0.003129890453834116,0.0016260162601626016,0.0022130013831258644,0.0009626955475330926,0.0022988505747126436,0.0034391534391534392,0.002886002886002886,0.002631578947368421,0.002502844141069397,0.0015564202334630351,0.0016460905349794238,0.008937198067632851,0.004134366925064599,0.003273809523809524,0.005761316872427984,0.0016771488469601676,0.001692047377326565,0.00196078431372549,0.0019536019536019536,0.0016359918200408998,0.0048134777376654635,0.0033485540334855404,0.0017777777777777779,0.003355704697986577,0.005705705705705706,0.004276729559748427,0.004884004884004884,0.0016,0.005637254901960784,0.0014652014652014652,0.0013605442176870747,0.002619047619047619,0.0024444444444444444,0.000966183574879227,0.002372479240806643,0.005188067444876783,0.0032520325203252032,0.0005555555555555556,0.001176470588235294,0.006274509803921568
3,6,social differentiation,60,3.316666666666667,1.0722510070977889,5,3,4,4,5,5,4,3,3,3,2,2,2,1,5,5,2,3,4,3,4,4,4,4,3,3,3,3,3,4,4,1,3,3,3,5,4,3,4,5,2,3,4,3,3,2,1,4,2,4,4,3,3,5,3,2,2,5,4,2
3,6,group size,60,2.105,1.0594692067257072,1.2,2.0,1.5,1.5,1.2,1.2,1.5,2.0,2.0,2.0,3.0,3.0,3.0,6.0,1.2,1.2,3.0,2.0,1.5,2.0,1.5,1.5,1.5,1.5,2.0,2.0,2.0,2.0,2.0,1.5,1.5,6.0,2.0,2.0,2.0,1.2,1.5,2.0,1.5,1.2,3.0,2.0,1.5,2.0,2.0,3.0,6.0,1.5,3.0,1.5,1.5,2.0,2.0,1.2,2.0,3.0,3.0,1.2,1.5,3.0
3,50,cultural homogeneity,60,0.00020092088827198962,4.2699564092804625e-05,0.0002349080953425917,0.0001567209162145871,0.00022598624997289033,0.00020465521790503723,0.0002791625124626122,0.00025518205191119833,0.00022047079701445797,0.0002503100687788928,0.00014885699096225412,0.00024752069502499794,0.00021774226932152173,0.00016351180633300124,0.00015929353107702708,0.00019124054116028433,0.00017911139675281574,0.00018880448410649753,0.0001869347409474498,0.00022842976670060648,0.00024481037050013137,0.00020453314068990427,0.00013654307284740474,0.00019060979547301735,0.0001702660947915429,0.00023228803716608595,0.00020006344506714603,0.00023599961311538832,0.00018412745336106507,0.00022768575188519626,0.00030429534809040275,0.00029203313124412947,0.00022166009260847196,0.00018517179023508137,0.00020863025745216363,0.0001297164828664385,0.00017256742952772162,0.000214499555867484,0.00017567626622383428,0.00018560778944165526,0.0002445236882322975,0.0001767349083616631,0.00017075773745997867,0.00023663590848880807,0.00024280023655170104,0.0001394905087236399,0.00023059828876316438,0.00021108289706051392,0.00017831752921178948,0.000151187442448123,0.00013612444463117208,0.00014143839353923388,0.00021625637110253605,0.00015653181465408874,0.00020025445555819896,0.00017344288364696528,0.00015491413956887103,0.00014588017600292621,0.0003196015806853245,0.00017579095130115539,0.00023067311697049306,0.00016658877291374566
3,50,social differentiation,60,9.366666666666667,2.786674641136915,5,6,10,13,4,7,11,12,13,4,7,15,12,11,11,6,10,7,10,10,17,11,10,10,5,8,12,10,8,8,8,8,4,14,10,9,10,9,9,6,13,12,8,11,8,11,13,8,8,14,7,12,6,8,9,11,6,9,9,9
3,50,group size,60,5.926341360164889,2.1614578766247945,10.0,8.333333333333334,5.0,3.8461538461538463,12.5,7.142857142857143,4.545454545454546,4.166666666666667,3.8461538461538463,12.5,7.142857142857143,3.3333333333333335,4.166666666666667,4.545454545454546,4.545454545454546,8.333333333333334,5.0,7.142857142857143,5.0,5.0,2.9411764705882355,4.545454545454546,5.0,5.0,10.0,6.25,4.166666666666667,5.0,6.25,6.25,6.25,6.25,12.5,3.5714285714285716,5.0,5.555555555555555,5.0,5.555555555555555,5.555555555555555,8.333333333333334,3.8461538461538463,4.166666666666667,6.25,4.545454545454546,6.25,4.545454545454546,3.8461538461538463,6.25,6.25,3.5714285714285716,7.142857142857143,4.166666666666667,8.333333333333334,6.25,5.555555555555555,4.545454545454546,8.333333333333334,5.555555555555555,5.555555555555555,5.555555555555555
3,100,cultural homogeneity,60,6.103482619771891e-05,8.493804454328143e-06,5.07371634703346e-05,5.246196507532039e-05,6.715383927773308e-05,5.6388875577067456e-05,5.131943276273173e-05,4.9800580916460746e-05,6.901411873344511e-05,5.402301639291231e-05,6.295513272257459e-05,5.761568148548257e-05,6.085718331156046e-05,7.478368695098734e-05,5.371877073894663e-05,5.408167275871556e-05,7.39335570796245e-05,6.434380413541214e-05,7.518569046536305e-05,4.9896555920652304e-05,6.32113951352852e-05,6.1029729200687525e-05,7.191708754208755e-05,5.515909952770021e-05,5.958148185270567e-05,6.818844614120204e-05,5.238585194773585e-05,5.7644646095129504e-05,5.526758816232501e-05,5.7432607233404044e-05,7.30199798763835e-05,6.139673594362326e-05,7.261530842665934e-05,6.544392706902763e-05,5.9061137128051626e-05,6.286553078335985e-05,5.6565656565656563e-05,5.090100791641749e-05,5.283520435035586e-05,5.2048408212791776e-05,6.548569884525825e-05,5.948343056586406e-05,5.406174420258927e-05,6.230984544237556e-05,7.297784041970089e-05,6.693280424545215e-05,7.178774646023554e-05,6.812701303519333e-05,6.735818899435692e-05,5.935783183197662e-05,5.611983432887231e-05,7.903017293948338e-05,4.899640416220301e-05,6.776803682026119e-05,6.65699548678272e-05,5.0505050505050505e-05,6.914000851724743e-05,4.776281529049057e-05,4.3819732362557726e-05,7.276811746085489e-05,7.27336389101095e-05,5.215210476926015e-05
3,100,social differentiation,60,17.45,3.9090706482913986,21,24,19,15,21,19,18,18,16,15,16,11,19,15,14,21,16,19,18,22,16,16,17,15,22,22,23,19,12,9,15,20,17,13,15,26,19,18,12,20,19,9,7,17,16,20,17,20,22,16,21,19,10,19,16,22,24,15,14,21
3,100,group size,60,6.118239429216683,1.8603619238191638,4.761904761904762,4.166666666666667,5.2631578947368425,6.666666666666667,4.761904761904762,5.2631578947368425,5.555555555555555,5.555555555555555,6.25,6.666666666666667,6.25,9.090909090909092,5.2631578947368425,6.666666666666667,7.142857142857143,4.761904761904762,6.25,5.2631578947368425,5.555555555555555,4.545454545454546,6.25,6.25,5.882352941176471,6.666666666666667,4.545454545454546,4.545454545454546,4.3478260869565215,5.2631578947368425,8.333333333333334,11.11111111111111,6.666666666666667,5.0,5.882352941176471,7.6923076923076925,6.666666666666667,3.8461538461538463,5.2631578947368425,5.555555555555555,8.333333333333334,5.0,5.2631578947368425,11.11111111111111,14.285714285714286,5.882352941176471,6.25,5.0,5.882352941176471,5.0,4.545454545454546,6.25,4.761904761904762,5.2631578947368425,10.0,5.2631578947368425,6.25,4.545454545454546,4.166666666666667,6.666666666666667,7.142857142857143,4.761904761904762
4,6,cultural homogeneity,60,0.009693255109957857,0.0026067297372438024,0.012021857923497269,0.009114583333333334,0.008835341365461847,0.010555555555555556,0.01272475795297372,0.012044817927170869,0.005776173285198556,0.009408602150537635,0.009366391184573003,0.008794326241134751,0.007981220657276996,0.01606425702811245,0.010743801652892562,0.013559322033898305,0.005249343832020997,0.013333333333333334,0.009401709401709401,0.011111111111111112,0.011733333333333333,0.009486166007905139,0.008771929824561403,0.012048192771084338,0.0033333333333333335,0.011605937921727396,0.010977242302543508,0.008683473389355743,0.006637806637806638,0.011466666666666667,0.006844106463878327,0.013076923076923076,0.007081807081807082,0.009934640522875817,0.01092896174863388,0.010344827586206896,0.0036036036036036037,0.011845730027548209,0.011548556430446194,0.011988304093567251,0.007531380753138075,0.009448818897637795,0.005706874189364461,0.007074829931972789,0.005495818399044205,0.009066666666666667,0.010235131396957123,0.012535612535612535,0.009986504723346829,0.011704834605597965,0.008299866131191432,0.009150326797385621,0.008253968253968255,0.014783821478382147,0.01272475795297372,0.011016949152542373,0.009327846364883402,0.009022556390977444,0.006194690265486726,0.008236808236808236,0.006576980568011958,0.01119221411192214
